timestamp,batvolt,boardtemp,lat,long
2016-12-30T05:47:07.196719002Z,3.97,10,52.1671729,4.9994786
2016-12-30T05:56:07.252187015Z,3.98,10,52.1670398,4.9994637
2016-12-30T06:00:06.240229861Z,3.97,10,52.1671284,4.9995384
2016-12-30T06:05:08.188766529Z,3.98,10,52.1671031,4.9993967
2016-12-30T06:09:07.254834834Z,3.98,10,52.1671301,4.9995184
2016-12-30T06:14:07.23455417Z,3.98,10,52.1671231,4.9994969
2016-12-30T06:18:07.255557484Z,3.97,10,52.1672554,4.9992974
2016-12-30T06:23:09.251521447Z,3.98,10,52.1670836,4.9994031
2016-12-30T06:32:08.190039906Z,3.98,10,52.1673222,4.9992377
2016-12-30T06:37:08.179630418Z,3.98,10,52.1670725,4.999363
2016-12-30T06:43:08.194741794Z,3.98,10,52.1672125,4.999566
2016-12-30T06:46:07.232159384Z,3.98,10,52.1671829,4.9993993
2016-12-30T06:52:08.192362747Z,3.98,10,52.1671065,4.9994277
2016-12-30T07:01:07.245473346Z,3.98,10,52.1670588,4.9995647
2016-12-30T07:04:06.227589173Z,3.97,10,52.1672608,4.9994883
2016-12-30T07:10:07.254146988Z,3.98,10,52.166913,4.9995894
2016-12-30T07:13:07.192741915Z,3.98,10,52.1671058,4.9995136
2016-12-30T07:19:08.195266536Z,3.97,11,52.1670916,4.9994853
2016-12-30T07:28:08.196670681Z,3.98,10,52.1674926,4.999375
2016-12-30T07:31:09.200944653Z,3.98,11,52.1673118,4.9997605
2016-12-30T07:37:08.19787427Z,3.98,10,52.1675892,4.9991871
2016-12-30T07:46:09.192004808Z,3.98,11,52.1671542,4.9995259
2016-12-30T07:55:09.184117012Z,3.98,10,52.1677476,4.9992559
2016-12-30T07:59:07.249505771Z,3.97,10,52.1671684,4.9996912
2016-12-30T08:06:09.197070231Z,3.98,10,52.1673356,4.9992314
2016-12-30T08:08:08.186092867Z,3.98,10,52.1671502,4.9994292
2016-12-30T08:15:07.278594928Z,3.98,10,52.1671491,4.9994887
2016-12-30T08:24:06.233566734Z,3.97,10,52.1671469,4.9993682
2016-12-30T08:26:07.20636653Z,3.98,10,52.1671882,4.9994183
2016-12-30T08:33:07.240570896Z,3.97,10,52.167139,4.9993759
2016-12-30T08:42:07.233596489Z,3.98,10,52.1672426,4.9991684
2016-12-30T08:50:06.211913709Z,3.97,10,52.1672357,4.9991897
2016-12-30T08:53:07.251370444Z,3.98,10,52.1672516,4.9992011
2016-12-30T08:59:10.203833851Z,3.98,10,52.1671111,4.9994875
2016-12-30T09:02:07.236825707Z,3.98,10,52.1670253,4.9993988
2016-12-30T09:08:06.26306358Z,3.97,10,52.1671188,4.9992577
2016-12-30T09:18:07.273323867Z,3.98,10,52.1671595,4.9995191
2016-12-30T09:20:08.184243068Z,3.98,10,52.1669472,4.9994309
2016-12-30T09:27:07.237057705Z,3.97,10,52.1672177,4.999405
2016-12-30T09:36:08.188629589Z,3.98,10,52.1672613,4.9993904
2016-12-30T09:45:08.184894514Z,3.97,10,52.1669826,4.9994254
2016-12-30T09:54:15.193259105Z,3.98,10,52.1670677,4.9994238
2016-12-30T10:03:08.181059251Z,3.97,10,52.1671115,4.9993786
2016-12-30T10:12:08.189393827Z,3.98,10,52.166655,4.9995944
2016-12-30T10:21:08.174988032Z,3.98,10,52.1672044,4.9994115
2016-12-30T10:25:07.18232543Z,3.97,10,52.1670984,4.9994235
2016-12-30T10:31:08.179623062Z,3.98,10,52.1674508,4.9992983
2016-12-30T10:40:08.176345577Z,3.98,11,52.1672921,4.9994251
2016-12-30T10:49:08.736275886Z,3.98,11,52.1674753,4.9990025
2016-12-30T10:58:07.254560932Z,3.98,10,52.1672618,4.9994498
2016-12-30T11:07:08.182361149Z,3.98,11,52.1669713,4.9995329
2016-12-30T11:16:13.173826059Z,3.98,11,52.1666717,4.9995452
2016-12-30T11:25:25.181564658Z,3.98,11,52.1661795,4.9995965
2016-12-30T11:34:10.189585007Z,3.98,11,52.1671968,4.9993574
2016-12-30T11:44:07.18753406Z,3.97,11,52.1671568,4.9993376
2016-12-30T11:49:07.182268374Z,3.98,11,52.1671988,4.9993475
2016-12-30T11:53:07.256203126Z,3.97,11,52.1671598,4.9994501
2016-12-30T12:02:09.236613439Z,3.98,11,52.167088,4.9993666
2016-12-30T12:11:08.185304846Z,3.98,11,52.1669503,4.9990564
2016-12-30T12:20:08.174863001Z,3.97,11,52.167202,4.9994409
2016-12-30T12:26:08.187128851Z,3.97,11,52.167245,4.999471
2016-12-30T12:29:11.187633506Z,3.98,11,52.1674194,4.9994931
2016-12-30T12:38:10.174081008Z,3.97,12,52.167348,4.9995284
2016-12-30T12:47:08.173446732Z,3.98,12,52.1672476,4.9993853
2016-12-30T12:56:09.173762045Z,3.98,13,52.1671077,4.9994051
2016-12-30T13:02:08.237016959Z,3.97,13,52.1671738,4.9993498
2016-12-30T13:06:11.180396372Z,3.98,13,52.1673321,4.9992805
2016-12-30T13:15:09.228608688Z,3.97,13,52.1670538,4.999369
2016-12-30T13:20:10.216250381Z,3.98,13,52.1667284,4.9996634
2016-12-30T13:24:12.172028653Z,3.98,13,52.1668965,4.999686
2016-12-30T13:29:09.165030715Z,3.98,13,52.1671312,4.9995233
2016-12-30T13:33:09.166479135Z,3.98,13,52.1669515,4.9995447
2016-12-30T13:40:07.733821054Z,3.97,13,52.1671236,4.9993778
2016-12-30T13:42:10.231747576Z,3.98,13,52.1669402,4.9996688
2016-12-30T13:51:16.21701208Z,3.98,13,52.1671477,4.9994257
2016-12-30T14:00:10.229714853Z,3.97,13,52.1671159,4.9994176
2016-12-30T14:09:10.307587275Z,3.98,13,52.1672072,4.9993689
2016-12-30T14:19:09.180597408Z,3.98,13,52.1672786,4.9993161
2016-12-30T14:25:09.237586416Z,3.97,13,52.1672925,4.9994593
2016-12-30T14:37:08.210609658Z,3.97,14,52.1673493,4.9993559
2016-12-30T14:46:09.731708034Z,3.98,14,52.1673738,4.9993389
2016-12-30T14:55:08.240770316Z,3.98,13,52.1672268,4.9995409
2016-12-30T15:02:09.191037301Z,3.98,13,52.167402,4.9992881
2016-12-30T15:04:07.754360064Z,3.98,13,52.1672418,4.9995117
2016-12-30T15:11:08.176588285Z,3.97,12,52.1672923,4.9994329
2016-12-30T15:13:07.732793553Z,3.97,12,52.1673124,4.9992264
2016-12-30T15:20:08.214482589Z,3.98,12,52.1673639,4.9993528
2016-12-30T15:22:09.180693303Z,3.98,12,52.1672043,4.9994467
2016-12-30T15:32:12.171826908Z,3.98,12,52.1675361,4.9989976
